epoch,accuracy,loss,val_accuracy,val_loss
0,0.606751561164856,1.069711685180664,0.16280727088451385,3.022717237472534
1,0.7490870356559753,0.6982239484786987,0.35055220127105713,2.34503436088562
2,0.7855170369148254,0.5923593044281006,0.7085856795310974,0.8257642388343811
3,0.8105459809303284,0.5326985120773315,0.7438546419143677,0.710583508014679
4,0.8336153626441956,0.4658293128013611,0.6195226311683655,1.2621963024139404
5,0.8436804413795471,0.44378623366355896,0.6993231177330017,0.8611748814582825
6,0.861316442489624,0.39374080300331116,0.7784110903739929,0.6609444618225098
7,0.8685312271118164,0.36490148305892944,0.5639472603797913,1.5391253232955933
8,0.8801994919776917,0.3357241153717041,0.8115425705909729,0.5700387358665466
9,0.8895519971847534,0.30953019857406616,0.7531172037124634,0.7396059036254883
10,0.8954306840896606,0.29246821999549866,0.7370858788490295,0.8543825745582581
11,0.9041596055030823,0.2686634957790375,0.6622728705406189,1.2172356843948364
